objectid,regionalism_code,regionalism_name,up_code,up_name,regionalism_level,regionalism_bm,regionalism_pid,start_time,end_time
79,230719,友好区,230700.0,伊春市,3,4c1520e05441438a895c4dfec6c24fa4,76.0,2023,2023
44,230307,麻山区,230300.0,鸡西市,3,4138a1245975466b94c92d570507e215,38.0,2023,2023
11,230113,双城区,230100.0,哈尔滨市,3,71b8af8d87014d71af3c1efe54491762,2.0,2023,2023
807,230301,市辖区,230300.0,鸡西市,3,e843fabe254146fc9970f4d25928d615,38.0,2023,2023
105,231003,阳明区,231000.0,牡丹江市,3,9ead755cc5e746e286c2d79cdd388a0b,103.0,2023,2023
20,230184,五常市,230100.0,哈尔滨市,3,03877674471d4ecd82d8be1bad37160b,2.0,2023,2023
83,230725,大箐山县,230700.0,伊春市,3,c3597299db0e468e93d20f90b4477420,76.0,2023,2023
89,230804,前进区,230800.0,佳木斯市,3,305abf6250144a71b20034b8259486e2,87.0,2023,2023
33,230227,富裕县,230200.0,齐齐哈尔市,3,bc66f9e96e0f4ae3a44138347b1bb3ae,21.0,2023,2023
1,230000,黑龙江省,,,1,5560b562318c4fbd90419510c84c903f,,2023,2023
107,231005,西安区,231000.0,牡丹江市,3,00711500a1ff4193b74ed4c48076d66b,103.0,2023,2023
61,230506,宝山区,230500.0,双鸭山市,3,3fab2470e4b746408e6d5e0f393af1ac,57.0,2023,2023
51,230404,南山区,230400.0,鹤岗市,3,c71c6e1e72414c5ba9fca3e49f0315c5,48.0,2023,2023
65,230524,饶河县,230500.0,双鸭山市,3,3a6bb25bdd7249b5888fb2cb12db9ae7,57.0,2023,2023
104,231002,东安区,231000.0,牡丹江市,3,f7fce6109a374e70b9740ad0052b0e52,103.0,2023,2023
27,230207,碾子山区,230200.0,齐齐哈尔市,3,755e7b117da2476fb6bf2b3c68c5abed,21.0,2023,2023
24,230204,铁锋区,230200.0,齐齐哈尔市,3,366bfb1d57aa4497a62b3abb23efc2e1,21.0,2023,2023
133,232701,漠河市,232700.0,大兴安岭地区,3,c924f36f8fd44e1b86c0537d51aa16b5,132.0,2023,2023
76,230700,伊春市,230000.0,黑龙江省,2,819f43e964c94ac5b60bf48a7c2a69d4,1.0,2023,2023
123,231221,望奎县,231200.0,绥化市,3,f47b91ba16944c04bf8f72f862e4a1fe,121.0,2023,2023
97,230883,抚远市,230800.0,佳木斯市,3,407cff9b094b4a28ac895080f77cde30,87.0,2023,2023
15,230126,巴彦县,230100.0,哈尔滨市,3,4a25818bb45f496f92d8c62593e09050,2.0,2023,2023
5,230104,道外区,230100.0,哈尔滨市,3,cdb68657f70845628e8c8aa1ef712aaf,2.0,2023,2023
52,230405,兴安区,230400.0,鹤岗市,3,01d8db5c3d864cbc8a05ae063e05711b,48.0,2023,2023
86,230781,铁力市,230700.0,伊春市,3,f95071d7b7f84c028bf34fa320700a9f,76.0,2023,2023
87,230800,佳木斯市,230000.0,黑龙江省,2,fc3b6813401a4b29aa35f126222e39d9,1.0,2023,2023
131,231283,海伦市,231200.0,绥化市,3,35ea28a6e5194435961bfe8d641ba60e,121.0,2023,2023
48,230400,鹤岗市,230000.0,黑龙江省,2,c106f019c3bd4b5aa95888518f61fd03,1.0,2023,2023
804,230401,市辖区,230400.0,鹤岗市,3,e8412b934e9141a6b4d434fbf2f88c9b,48.0,2023,2023
72,230621,肇州县,230600.0,大庆市,3,d58ff7b23c174f6d9b054a409fc6f6b6,66.0,2023,2023
120,231183,嫩江市,231100.0,黑河市,3,893ee6813fde4bd3834f54b39028e54a,114.0,2023,2023
113,231086,东宁市,231000.0,牡丹江市,3,e1f7f355064f47e294b8fa966fd071c7,103.0,2023,2023
7,230109,松北区,230100.0,哈尔滨市,3,3668214bc982495abf8a05d5724d706b,2.0,2023,2023
137,232762,松岭区,232700.0,大兴安岭地区,3,c2697d170cd8469aa2e83f35bdbcd04e,132.0,2023,2023
